R.1,R.2,R.3,score,rebuild
0.04,0.92,0.04,-0.19167999999999996,FALSE
0.03,0.93,0.04,-0.18834,FALSE
0.02,0.94,0.04,-0.185,FALSE
0.01,0.95,0.04,-0.18166,FALSE
0,0.96,0.04,-0.17832000000000003,FALSE
0.95,0,0.05,-0.49470000000000003,FALSE
0.94,0.01,0.05,-0.49136,FALSE
0.93,0.02,0.05,-0.48802,FALSE
0.92,0.03,0.05,-0.48468,FALSE
0.91,0.04,0.05,-0.48134,FALSE
0.9,0.05,0.05,-0.478,FALSE
0.89,0.06,0.05,-0.47466,FALSE
0.88,0.07,0.05,-0.47132,FALSE
0.87,0.08,0.05,-0.46798,FALSE
0.86,0.09,0.05,-0.46464,FALSE
0.85,0.1,0.05,-0.4613,FALSE
0.84,0.11,0.05,-0.45796000000000003,FALSE
0.83,0.12,0.05,-0.45462,FALSE
0.82,0.13,0.05,-0.45128,FALSE
0.81,0.14,0.05,-0.44794,FALSE
0.8,0.15,0.05,-0.4446,FALSE
0.79,0.16,0.05,-0.44126,FALSE
0.78,0.17,0.05,-0.43792,FALSE
0.77,0.18,0.05,-0.43458,FALSE
0.76,0.19,0.05,-0.43124,FALSE
0.75,0.2,0.05,-0.4279,FALSE
0.74,0.21,0.05,-0.42456,FALSE
0.73,0.22,0.05,-0.42122000000000004,FALSE
0.72,0.23,0.05,-0.41788000000000003,FALSE
0.71,0.24,0.05,-0.41454,FALSE
0.7,0.25,0.05,-0.4112,FALSE
0.69,0.26,0.05,-0.40786,FALSE
0.68,0.27,0.05,-0.40452,FALSE
0.67,0.28,0.05,-0.40118,FALSE
0.66,0.29,0.05,-0.39784,FALSE
0.65,0.3,0.05,-0.3945,FALSE
0.64,0.31,0.05,-0.39116,FALSE
0.63,0.32,0.05,-0.38782,FALSE
0.62,0.33,0.05,-0.38448,FALSE
0.61,0.34,0.05,-0.38114000000000003,FALSE
0.6,0.35,0.05,-0.3778,FALSE
0.59,0.36,0.05,-0.37446,FALSE
0.58,0.37,0.05,-0.37112,FALSE
0.57,0.38,0.05,-0.36778,FALSE
0.56,0.39,0.05,-0.36444,FALSE
0.55,0.4,0.05,-0.3611,FALSE
0.54,0.41,0.05,-0.35776,FALSE
0.53,0.42,0.05,-0.35442,FALSE
0.52,0.43,0.05,-0.35108,FALSE
0.51,0.44,0.05,-0.34774,FALSE
0.5,0.45,0.05,-0.3444,FALSE
0.49,0.46,0.05,-0.34106,FALSE
0.48,0.47,0.05,-0.33772,FALSE
0.47,0.48,0.05,-0.33438,FALSE
0.46,0.49,0.05,-0.33104,FALSE
0.45,0.5,0.05,-0.3277,FALSE
0.44,0.51,0.05,-0.32436,FALSE
0.43,0.52,0.05,-0.32101999999999997,FALSE
0.42,0.53,0.05,-0.31768,FALSE
0.41,0.54,0.05,-0.31434,FALSE
0.4,0.55,0.05,-0.311,FALSE
0.39,0.56,0.05,-0.30766,FALSE
0.38,0.57,0.05,-0.30432000000000003,FALSE
0.37,0.58,0.05,-0.30098,FALSE
0.36,0.59,0.05,-0.29764,FALSE
0.35,0.6,0.05,-0.2943,FALSE
0.34,0.61,0.05,-0.29096,FALSE
0.33,0.62,0.05,-0.28762,FALSE
0.32,0.63,0.05,-0.28428,FALSE
0.31,0.64,0.05,-0.28094,FALSE
0.3,0.65,0.05,-0.2776,FALSE
0.29,0.66,0.05,-0.27426,FALSE
0.28,0.67,0.05,-0.27092,FALSE
0.27,0.68,0.05,-0.26758,FALSE
0.26,0.69,0.05,-0.26424000000000003,FALSE
0.25,0.7,0.05,-0.2609,FALSE
0.24,0.71,0.05,-0.25756,FALSE
0.23,0.72,0.05,-0.25422,FALSE
0.22,0.73,0.05,-0.25088,FALSE
0.21,0.74,0.05,-0.24753999999999998,FALSE
0.2,0.75,0.05,-0.24420000000000003,FALSE
0.19,0.76,0.05,-0.24086000000000002,FALSE
0.18,0.77,0.05,-0.23752,FALSE
0.17,0.78,0.05,-0.23418,FALSE
0.16,0.79,0.05,-0.23084,FALSE
0.15,0.8,0.05,-0.22749999999999998,FALSE
0.14,0.81,0.05,-0.22415999999999997,FALSE
0.13,0.82,0.05,-0.22082000000000002,FALSE
0.12,0.83,0.05,-0.21748,FALSE
0.11,0.84,0.05,-0.21414,FALSE
0.1,0.85,0.05,-0.21080000000000004,FALSE
0.09,0.86,0.05,-0.20746000000000003,FALSE
0.08,0.87,0.05,-0.20412000000000002,FALSE
